target_point;heading;velocity;acceleration;stay_point
no;-6.23985;1.09488;-0.075052;no
no;-6.5634;1.05316;-0.079966;no
no;-5.0529;0.366003;-0.002418;no
no;-1.86415;-0.316895;-0.001355;no
no;-3.48385;-2.20241;0.07999;yes
no;-3.60175;-2.09481;0.079269;no
no;-3.35447;-2.28523;0.079502;no
yes;-6.47959;2.29306;-0.079344;no
no;-6.72205;2.11645;-0.079481;no
no;-1.87772;-0.706386;-0.001423;no
no;-5.05968;0.795735;-0.001805;no
yes;-3.98821;-0.757809;0.070585;yes
no;-3.8668;-0.855995;0.074626;no
no;-3.5299;-1.05867;0.079961;no
no;-6.28464;1.14382;-0.075011;no
no;-6.61327;1.08207;-0.079974;no
no;-5.09962;0.431942;-0.002456;no
no;-1.91013;-0.380729;-0.001376;no
no;-3.51747;-2.21125;0;yes
no;-3.6508;-2.07562;0;no
no;-3.40131;-2.2975;0;no
yes;-6.53972;2.29943;0;no
no;-6.7843;2.08493;0;no
no;-1.93232;-0.840832;0;no
